,temp_max,temp_max,temp_max,temp_max,temp_max,temp_max,temp_max,temp_max,temp_min,temp_min,temp_min,temp_min,temp_min,temp_min,temp_min,temp_min,temp_mean,temp_mean,temp_mean,temp_mean,temp_mean,temp_mean,temp_mean,temp_mean,precipitation,precipitation,precipitation,precipitation,precipitation,precipitation,precipitation,precipitation,humidite_mean,humidite_mean,humidite_mean,humidite_mean,humidite_mean,humidite_mean,humidite_mean,humidite_mean,vent_max,vent_max,vent_max,vent_max,vent_max,vent_max,vent_max,vent_max,pression_mean,pression_mean,pression_mean,pression_mean,pression_mean,pression_mean,pression_mean,pression_mean
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
ville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizerte,5988.0,21.921286058901135,6.183313658801797,7.8364997,16.72399975,21.2365,27.186499,43.6865,5988.0,16.395601536005344,5.088045067008427,4.2365,12.1365,15.6365,21.036499,30.6365,5988.0,18.992615220424184,5.462635051348078,6.090666,14.312541,18.1552485,23.96045775,36.209415,5988.0,1.3876586569472278,3.984074711167149,0.0,0.0,0.0,0.6,113.50001,5988.0,73.55036740146961,7.439736723213129,35.7,69.0,74.0,78.7,92.4,5988.0,22.029540188159654,8.076546781514619,6.162207,16.071491,20.570856499999998,26.562655999999997,54.355232,5988.0,1015.8292752171009,5.706683495826367,988.8,1012.5,1015.4,1019.0,1037.0
Sfax,5988.0,24.38037291983968,6.314465780914818,9.2065,18.9065,24.0065,29.8065,44.9065,5988.0,16.719367578623913,5.8541342951680235,3.0065,11.5065,16.5565,22.1565,30.1565,5988.0,20.32408712019038,5.969696960294849,6.6439996,15.01066675,19.9731665,25.807019999999998,37.12734,5988.0,0.43184703243653977,1.9217495649058334,0.0,0.0,0.0,0.0,35.300007,5988.0,64.92790581162323,9.539977044390405,26.4,58.8,65.5,71.4,90.7,5988.0,25.2345558494489,7.286028886127126,7.754637,20.172853,23.979893,29.375866000000002,59.461056,5988.0,1015.1876753507014,5.50677628088009,993.2,1011.8,1014.6,1018.2,1037.8
Sousse,5988.0,25.852334043921175,7.307504199610809,8.106,19.706,25.256,31.656,48.205997,5988.0,15.073727163827657,5.866407051592406,0.356,10.156,14.606,20.356,30.606,5988.0,20.08379146509686,6.3954512422743255,5.210167,14.448706999999999,19.495584,25.746622000000002,39.04767,5988.0,0.822344691518036,3.0173223816618227,0.0,0.0,0.0,0.2,59.600002,5988.0,61.57418169672679,10.303435986771998,18.2,55.2,61.8,68.4,93.7,5988.0,20.730094921626588,6.2398551332655465,6.162207,16.548256,19.803272,23.950148,51.364063,5988.0,1013.6213593854375,5.517572004443583,989.0,1010.3,1013.2,1016.7,1035.9
Tunis,5988.0,23.701160982464934,6.981718970931093,7.504,17.804,23.004,29.504,45.704,5988.0,15.40240514559118,5.438181933687178,2.5040002,10.854,14.804,20.304,31.354,5988.0,19.17730983124582,6.032307234678854,5.0290003,13.9847285,18.421706999999998,24.560251,38.528996,5988.0,1.1132765602204409,3.6941188057890115,0.0,0.0,0.0,0.4,103.5,5988.0,68.12661990647962,8.740705500810387,29.5,62.7,68.3,74.0,96.9,5988.0,19.44450105424182,6.78607852122048,6.1305785,14.575553,18.089775,23.185787,50.554047,5988.0,1015.1947227788911,5.621830038468664,988.2,1011.9,1014.8,1018.3,1036.7
